Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,,pob-test-typescript-package-in-monorepo,4.2.15,,2026-08-04T12:45:48.032Z,2026-08-04T12:49:06.554Z
npm,@ornikar,rollup-config,11.1.12,,2026-08-04T12:44:38.978Z,2026-08-04T12:49:06.346Z
npm,@ornikar,babel-preset-base,6.0.11,,2026-08-04T12:44:00.167Z,2026-08-04T12:49:06.239Z
npm,@ornikar,graphql-config,1.1.11,,2026-08-04T12:45:11.668Z,2026-08-04T12:49:06.070Z
npm,@ornikar,apollo-link-timeout,1.4.8,,2026-08-04T12:44:00.126Z,2026-08-04T12:49:06.063Z
npm,@ornikar,eslint-config-typescript-nestjs,24.0.11,,2026-08-04T12:45:12.543Z,2026-08-04T12:49:05.934Z
npm,@ornikar,eslint-config-formatjs,24.0.9,,2026-08-04T12:44:39.229Z,2026-08-04T12:49:05.928Z
npm,@ornikar,prismic-components,0.0.10,,2026-08-04T12:44:09.764Z,2026-08-04T12:49:05.785Z
npm,@ornikar,eslint-config,24.0.10,,2026-08-04T12:44:09.639Z,2026-08-04T12:49:05.759Z
npm,@ornikar,babel-preset-base,6.0.12,,2026-08-04T12:44:09.809Z,2026-08-04T12:49:05.704Z
npm,@ornikar,renovate-config,9.0.12,,2026-08-04T12:44:38.863Z,2026-08-04T12:49:05.688Z
npm,@ornikar,postcss-config,9.1.10,,2026-08-04T12:44:09.574Z,2026-08-04T12:49:05.525Z
npm,@ornikar,typed-css-modules-loader,0.8.12,,2026-08-04T12:45:11.806Z,2026-08-04T12:49:05.488Z
npm,@ornikar,jest-config-react,18.0.11,,2026-08-04T12:45:11.944Z,2026-08-04T12:49:05.487Z
npm,,native-frontend-orb,1.1.13,,2026-08-04T12:44:09.667Z,2026-08-04T12:49:05.473Z
npm,@ornikar,eslint-config-typescript-react,24.0.9,,2026-08-04T12:44:10.439Z,2026-08-04T12:49:05.454Z
npm,@ornikar,eslint-config-typescript-react,24.0.11,,2026-08-04T12:45:12.061Z,2026-08-04T12:49:05.447Z
npm,@ornikar,prettier-config,9.0.10,,2026-08-04T12:43:59.996Z,2026-08-04T12:49:05.320Z
npm,@ornikar,jest-config-react-native-web,12.0.10,,2026-08-04T12:44:00.239Z,2026-08-04T12:49:05.156Z
