query,answer,first_seen,last_seen,type
"112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","188.114.97.3","2026-04-30 02:53:14","2026-06-05 06:35:16","A"
"112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","188.114.96.3","2026-04-30 02:53:14","2026-06-05 06:35:16","A"
"artoken-vuvuzela90001-docviewer.jroot.workers.dev","188.114.97.3","2026-04-10 01:53:31","2026-06-04 05:08:52","A"
"artoken-vuvuzela90001-docviewer.jroot.workers.dev","188.114.96.3","2026-04-10 01:53:31","2026-06-04 05:08:52","A"
"7567e759-88a5-18c8-fa0f-docviewer.reynoldsjace5.workers.dev","188.114.96.0","2026-05-13 03:55:23","2026-05-13 03:55:23","A"
"7567e759-88a5-18c8-fa0f-docviewer.reynoldsjace5.workers.dev","188.114.97.0","2026-05-13 03:55:23","2026-05-13 03:55:23","A"
"aquaclaude-09494-9099403-docviewer.clear90489058903-document.workers.dev","188.114.96.0","2026-05-02 04:09:23","2026-05-02 04:09:23","A"
"aquaclaude-09494-9099403-docviewer.clear90489058903-document.workers.dev","188.114.97.0","2026-05-02 04:09:23","2026-05-02 04:09:23","A"
"112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","188.114.96.0","2026-04-30 02:03:44","2026-04-30 02:03:44","A"
"112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","188.114.97.0","2026-04-30 02:03:44","2026-04-30 02:03:44","A"
"112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","188.114.97.2","2026-04-29 01:09:00","2026-04-29 01:09:00","A"
"112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","188.114.96.2","2026-04-29 01:09:00","2026-04-29 01:09:00","A"
"321a1392-939d-3bf5-4040-docviewer.clear90489058903-document.workers.dev","188.114.96.0","2026-04-19 02:21:34","2026-04-19 02:21:35","A"
"321a1392-939d-3bf5-4040-docviewer.clear90489058903-document.workers.dev","188.114.97.0","2026-04-19 02:21:34","2026-04-19 02:21:35","A"
"artoken-vuvuzela90001-docviewer.jroot.workers.dev","188.114.96.0","2026-04-11 02:56:24","2026-04-11 02:56:30","A"
"artoken-vuvuzela90001-docviewer.jroot.workers.dev","188.114.97.0","2026-04-11 02:56:24","2026-04-11 02:56:30","A"
